"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"validate that about hyperlink  works properly","5324","HM_TC_28","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_28"
"verify that user can add bolt t-shirt to the cart","810","HM_TC_03","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_03"
"Verify cart badge counts after navigating back to home page and adding another product","1831","CP_TC_07","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_07"
"Validate ability to continue without filling firstname ","2176","CO_TC_01","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_01"
"Verify that user cannot login with username with uppercase letters","1081","LG_TC_08","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_08"
"Verify products are sorted (low-high price) when selecting third dropdown option","854","HM_TC_32","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_32"
"Validate ability to continue without filling postalcode ","1815","CO_TC_03","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_03"
"validate that all details displayed correctly after clicking on backbag image on home page","1170","HM_TC_15","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_15"
"validating that lastname textbox will not accept numbers   ","2165","CO_TC_012","Surefire suite","2025-11-24","failed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_012"
"validating the functionality of backhome button ","2678","C_TC_02","Surefire suite","2025-11-24","passed","2025-11-24","tests.CompleteTest","Surefire test","tests.CompleteTest","C_TC_02"
"Validate ability to cancel after filling all information  ","2023","CO_TC_04","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_04"
"validating that linkidin icon will direct me the rightlink   ","3071","CO_TC_09","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_09"
"validating that firstname textbox will not accept numbers   ","2341","CO_TC_010","Surefire suite","2025-11-24","failed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_010"
"verify that user cannot redirect to home page with invalid username","1254","LG_TC_02","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_02"
"Verify that the password field is masked(password isnot visible)","21","LG_TC_15","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_15"
"validate that all details displayed correctly after clicking on backbag header on home page","981","HM_TC_16","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_16"
"validating the total amount for two  items(back bag , bike light ) including tax is correct  ","2402","OV_TC_06","Surefire suite","2025-11-24","passed","2025-11-24","tests.OverViewTest","Surefire test","tests.OverViewTest","OV_TC_06"
"Verify that user cannot log in with spaces in username","996","LG_TC_04","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_04"
"validate that all details displayed correctly after clicking on red t-shirt header on home page","1055","HM_TC_26","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_26"
"Verify that visual_user can login successfully","672","LG_TC_13","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_13"
"verify that user can remove onesie from the cart","999","HM_TC_12","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_12"
"validating that cart icon will direct me to cart page   ","1962","CO_TC_06","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_06"
"Verify products are sorted (highlow- price) when selecting fourth dropdown option","1030","HM_TC_33","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_33"
"Verify that user cannot login with empty password","1407","LG_TC_07","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_07"
"Verify that user cannot login with empty username","1119","LG_TC_06","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_06"
"verify that user can remove a Backbag product and checkout correctly","1530","CP_TC_02","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_02"
"cart badge is hidden when cart is empty","1454","CP_TC_10","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_10"
"verify that user can remove red t-shirt from the cart","1175","HM_TC_13","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_13"
"validate that logout hyperlink  works properly","1672","HM_TC_29","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_29"
"Cart badge persists after page reload","2547","CP_TC_09","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_09"
"validating that lstname textbox will not accept 1 letter   ","2367","CO_TC_013","Surefire suite","2025-11-24","failed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_013"
"Verify products are sorted Z-A when selecting second dropdown option","807","HM_TC_31","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_31"
"validating that twitter icon will direct me the rightlink   ","6844","CO_TC_07","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_07"
"Verify that user cannot login with both empty username and password","1054","LG_TC_14","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_14"
"Validate ability to continue without filling lastname ","1923","CO_TC_02","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_02"
"validating that postal code textbox will not accept 1 digit   ","2056","CO_TC_015","Surefire suite","2025-11-24","failed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_015"
"verify that user can add onesie to the cart","922","HM_TC_05","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_05"
